"","State","date","price"
"505","South Dakota","2000-10-31",NA
"506","North Dakota","2000-10-31",NA
"507","Alaska","2000-10-31",95753.6556106178
"508","District of Columbia","2000-10-31",155986.294779419
"509","Vermont","2000-10-31",86487.4210210999
"510","Wyoming","2000-10-31",NA
"511","California","2000-11-30",154923.682102118
"512","Texas","2000-11-30",58216.2002276013
"513","Florida","2000-11-30",76965.4608875056
"514","New York","2000-11-30",101064.503604958
"515","Pennsylvania","2000-11-30",66543.4381961857
"516","Illinois","2000-11-30",81757.1889989006
"517","Ohio","2000-11-30",66153.4098357614
"518","Georgia","2000-11-30",69778.6412134236
"519","North Carolina","2000-11-30",78368.4831618215
"520","Michigan","2000-11-30",74919.2724822348
"521","New Jersey","2000-11-30",122880.261923654
"522","Virginia","2000-11-30",78331.9654484803
"523","Washington","2000-11-30",130281.600290931
"524","Arizona","2000-11-30",108033.742320463
"525","Massachusetts","2000-11-30",159830.052959093
"526","Tennessee","2000-11-30",68050.6066763432
"527","Indiana","2000-11-30",56236.6212098456
"528","Maryland","2000-11-30",96339.4232431645
"529","Missouri","2000-11-30",57619.8658216072
"530","Wisconsin","2000-11-30",87235.1524792036
"531","Colorado","2000-11-30",133342.852478808
"532","Minnesota","2000-11-30",102590.712830024
"533","South Carolina","2000-11-30",75940.4532026877
"534","Alabama","2000-11-30",55428.9204236353
"535","Louisiana","2000-11-30",66703.190966967
"536","Kentucky","2000-11-30",57386.5268906475
"537","Oregon","2000-11-30",107126.544425803
"538","Oklahoma","2000-11-30",32760.8446090117
"539","Connecticut","2000-11-30",118450.153702488
"540","Utah","2000-11-30",120487.856127269
"541","Iowa","2000-11-30",65467.4277957942
"542","Nevada","2000-11-30",111648.297828888
"543","Arkansas","2000-11-30",50767.884872116
"544","Mississippi","2000-11-30",NA
"545","Kansas","2000-11-30",46690.6450366393
"546","New Mexico","2000-11-30",NA
"547","Nebraska","2000-11-30",68020.3630921349
"548","Idaho","2000-11-30",80210.8875779108
"549","West Virginia","2000-11-30",38833.856582027
"550","Hawaii","2000-11-30",148974.306420741
"551","New Hampshire","2000-11-30",105012.589853892
"552","Maine","2000-11-30",88301.4197774728
"553","Rhode Island","2000-11-30",109520.358767425
"554","Montana","2000-11-30",NA
"555","Delaware","2000-11-30",101007.280394546
"556","South Dakota","2000-11-30",NA
"557","North Dakota","2000-11-30",NA
"558","Alaska","2000-11-30",95242.4074361226
"559","District of Columbia","2000-11-30",156533.407505171
"560","Vermont","2000-11-30",87047.3924687748
"561","Wyoming","2000-11-30",NA
"562","California","2000-12-31",156660.855379102
